admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3RefName_en,admin3RefName_ar,admin3Pcode
Yemen,?????,YE,Abyan,????,YE12,Ahwar,????,YE1209,Ahwar,????,Ahwar,????,YE120921
Yemen,?????,YE,Abyan,????,YE12,Al Mahfad,??????,YE1201,Al Mahfad,??????,Al Mahfad,??????,YE120121
Yemen,?????,YE,Abyan,????,YE12,Al Wadi',??????,YE1208,Al Wadi',??????,Al Wadi,??????,YE120821
Yemen,?????,YE,Abyan,????,YE12,Jayshan,?????,YE1203,Jayshan,?????,Jayshan,?????,YE120321
Yemen,?????,YE,Abyan,????,YE12,Khanfar,????,YE1211,Ja'ar,????,Jaar,????,YE121121
Yemen,?????,YE,Abyan,????,YE12,Lawdar,????,YE1204,Zarah,????,Zarah,????,YE120421
Yemen,?????,YE,Abyan,????,YE12,Mudiyah,?????,YE1202,Mudiyah,?????,Mudiyah,?????,YE120221
Yemen,?????,YE,Abyan,????,YE12,Rassd,???,YE1206,Al Qarrah,??????,Al Qarrah - Rassd,?????? - ???,YE120621
Yemen,?????,YE,Abyan,????,YE12,Sarar,????,YE1207,Sirar,????,Sirar,????,YE120721
Yemen,?????,YE,Abyan,????,YE12,Sibah,????,YE1205,Sibah,????,Sibah,????,YE120521
Yemen,?????,YE,Abyan,????,YE12,Zinjibar,??????,YE1210,Zinjibar,??????,Zinjibar,??????,YE121021
Yemen,?????,YE,Ad Dali',??????,YE30,Ad Dali',??????,YE3006,Ad Dali',??????,Ad Dali,??????,YE300621
Yemen,?????,YE,Ad Dali',??????,YE30,Al Azariq,???????,YE3008,Al Azariq,???????,Al Azariq - Al Azariq,??????? - ???????,YE300821
Yemen,?????,YE,Ad Dali',??????,YE30,Al Hasayn,??????,YE3005,Al Hasayn,??????,Al Hasayn,??????,YE300521
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Al Ahdhuf,???????,Al Ahdhuf,???????,YE300925
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Al Bayt,?????,Al Bayt,?????,YE300929
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Al Hayqi Al A'la,?????? ??????,Al Hayqi Al Ala,?????? ??????,YE300924
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Al Hayqi Al Asfal,?????? ??????,Al Hayqi Al Asfal,?????? ??????,YE300923
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Al Masalimah,????????,Al Masalimah,????????,YE300928
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Al Mashriqi,???????,Al Mashriqi,???????,YE300933
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Bani Malik,??? ????,Bani Malik - Al Husha,??? ???? - ??????,YE300930
Yemen,?????,YE,Ad Dali',??????,YE30,Al Husha,??????,YE3009,Bani Subh,??? ???,Bani Subh,??? ???,YE300931
